"id","preposition","meaning","example","is_deleted","syntactic_effect","semantic_logical","edit_by","created_at","updated_at"
"32","مِنَ","* معناها العام: ابتداء الغاية","سِرْتُ مِنَ الدَّارِ إِلَى الْمَدْرَسَةِ وَغِبْتُ مِنَ الضُّحَى إِلَى الظُّهْرِ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:16:16"
"33","مِنَ","* التبعيض","خُذْ مِنَ الطَّعَامِ لِبَيْتِكَ، أَنْفِقُوا مِمَّا تُحِبُّونَ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:17:13"
"34","مِنْ","* البيان لجنس ما قبلها","مَا عِنْدَكَ مِنْ مَالٍ فَأَحْضِرْهُ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:17:59"
"35","مِنَ","* البدلية","لَا يُغْنِيكَ الْجَدَلُ مِنَ الصِّدْقِ شَيْئًا.","0",NULL,NULL,"5",NULL,"2025-05-22 18:18:55"
"36","مِنْ","* التعليل","مِنْ تَقْصِيرِكَ خَسِرْتَ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:19:51"
"37","إِلَى","* انتهاء الغاية الزمانية أو المكانية","سَهِرْتُ إِلَى الْفَجْرِ، سِرْتُ إِلَى الْقَرْيَةِ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:20:30"
"38","إِلَى","* تأتي بمعنى (مع)","اَلذَّوْدُ إِلَى الذَّوْدِ إِبِلٌ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:23:48"
"39","إِلَى","* تأتي بمعنى (عند)","﴿ مَنْ أَنْصَارِي إِلَى اللَّهِ ﴾.","0",NULL,NULL,"5",NULL,"2025-05-22 18:24:12"
"40","رُبَّ","* التكثير","رُبَّ رَمْيَةٍ مِنْ غَيْرِ رَامٍ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:24:46"
"41","رُبَّ","* التقليل","رُبَّ طَالِبٍ مُهْمِلٍ يَنْجَحُ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:25:28"
"42","عَلَى","* معناها العام الاستعلاء حقيقياً","اَلْكِتَابُ عَلَى الرَّفِّ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:26:09"
"43","عَلَى","* الاستعلاء مجازيّاً","لَكَ عَلَيَّ فَضْلٌ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:27:49"
"44","عَلَى","* التعليل","أَكْرِمْنِي عَلَى نَفْعِي لَهُ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:28:29"
"45","عَلَى","* بمعنى (في)","قَوْلُهُ تَعَالَى: (وَدَخَلَ الْمَدِينَةَ عَلَى حِينِ غَفْلَةٍ مِنْ أَهْلِهَا).","0",NULL,NULL,"5",NULL,"2025-05-22 18:29:18"
"46","عَلَى","* بمعنى (مع)","أُحِبُّهُ عَلَى كَسَلِهِ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:29:55"
"47","عَلَى","* الاستدراك","خَسِرْتُ الصَّفْقَةَ عَلَى أَنِّي غَيْرُ يَائِسٍ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:30:31"
"48","حَتَّى","* انتهاء الغاية ( الزمانية والمكانية )","سَهِرْتُ حَتَّى الصَّبَاحِ، سَأَمْشِي حَتَّى الْبَيْتِ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:31:20"
"49","حَتَّى","* تأتي للتعليل (مرادفة اللام)","اِجْتَهِدْ حَتَّى تَفُوزَ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:31:52"
"50","خَلَا، عَدَا، حَاشَا","* جميعها تعني الاستثناء","جَاءَ الطُّلَّابُ (خَلَا، عَدَا، حَاشَا) أَحْمَدَ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:26:57"
"51","كَيْ","التعليل","جِئْتُ كَيْ أَتَعَلَّمَ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:07:02"
"52","لَعَلَّ","التّرجّي ، حرف جر زائد","لَعَلَّ اللَّهِ فَضَّلَكُمْ عَلَيْنَا.","0",NULL,NULL,"5",NULL,"2025-05-22 18:05:26"
"53","مَتَى","الابتداء (بمعنى ""من"")وجع الاستشهاد: استعمال ""متى"" حرف جر بمعنى ""من"" على لغة هذيل.","أَخْرِجْهَا مَتَى كُمِّهِ.","0",NULL,NULL,"5",NULL,"2025-05-22 18:06:12"
"54","لَوْلَا","حرف امتناع لوجود ، أي: لو لم يكن هذا الشيء لحدث هذا الشيء. يرى بعض النحاة، مثل سيبويه، أن ""لولا"" حرف جر إذا اتصلت بضمير، مثل: مِثْلُ ""لَوْلَايَ"" وَ ""لَوْلَاهُ""، ""لَوْلَاكَ"".","لَوْلَاكَ لَمْ يَعْرِضْ لِأَحْسَابِنَا حُسْنٌ.","0",NULL,NULL,"5",NULL,"2025-05-22 17:14:08"
