فَعْلان	atwah	CVCCVVC	C-Va-C-C-Va-C	CVaCCVaVaC			
فُعْلان	atwah	CVCCVVC	C-Vo-C-C-Va-C	CVoCCVaVaC			
فَعْلَاء	atwah	CVCCVVC	C-Va-C-C-Va-Va-C	CVaCCVaVaC			
مَفْعَل	atwah	CVCCVC	C-Va-C-C-Va-C	CVaCCVaC			
مَفْعِل	atwah	CVCCVC	C-Va-C-C-Vi-C	CVaCCViC			
مَفْعَلَة	atwah	CVCCVCVC	C-Va-C-C-Va-C-Va-C	CVaCCVaCVaC			
مِفْعَل	atwah	CVCCVC	C-Vi-C-C-Va-C	CViCCVaC	اسم آلة	آلة أو مكان	أقل شيوعًا من مِفْعَال
مِفْعَال	atwah	CVCCVVC	C-Vi-C-C-Va-Va-C	CViCCVaVaC	اسم آلة	أداة يُؤدَّى بها الفعل	مثال: مِسْمَار، مِفْتَاح
فَعْلَة	atwah	CVCCVC	C-Va-C-C-Va-C	CVaCCVaC			
مَفاعِل	atwah	CVCVVCVC	C-Va-C-Va-C-Vi-C	CVaCVaVaCViC			
مَفَاعِيل	atwah	CVCVVCVVC	C-Va-C-Va-Va-C-Vi-Vi-C	CVaCVaVaCViViC	جمع تكسير	جمع يدل على الكثرة	مثال: مَسَامِير
فَعَائِل	atwah	CVCVVCVC	C-Va-C-Va-Va-C-Vi-C	CVaCVaVaCViC			
فَوَاعِل	atwah	CVCVVCVC	C-Va-C-Va-Va-C-Vi-C	CVaCVaVaCViC			
فُعَلَاء	atwah	CVCVCVVC	C-Vo-C-Va-C-Va-Va-C	CVoCVaCVaVaC			
فِعَال	atwah	CVCVVC	C-Vi-C-Va-Va-C	CViCVaVaC	مصدر	يدل على الحدث مجردًا	
فِعَالَة	atwah	CVCVVCVC	C-Vi-C-Va-Va-C-Va-C	CViCVaVaCVaC			
فُعَل	atwah	CVCVC	C-Vo-C-Va-C	CVoCVaC			
فَعِيْلَة	atwah	CVCVVCVC	C-Va-C-Vi-C-C-Va-C	CVaCViViCVaC			
فَعِّيل	atwah	CVCCVVC	C-Va-C-C-Vi-Vi-C	CVaCCViViC			
أَفْعَل	atwah	CVCCVC	C-Va-C-C-Va-C	CVaCCVaC			
أَكْثَرَ	manual	CVCCVC	C-Va-C-C-Va-C	CVaCCVaC			
ضَلَّ	manual	CVCC	C-Va-C-C	CVaCC			
فِعْلان	atwah	CVCCVVC	C-Vi-C-C-Va-C	CViCCVaVaC			
فَعَلَة	atwah	CVCVCVC	C-Va-C-Va-C-Va-C	CVaCVaCVaC			
فِعَل	atwah	CVCVC	C-Vi-C-Va-C	CViCVaC			
فُعُل	atwah	CVCVC	C-Vo-C-Vo-C	CVoCVoC			
فَعِيلَة	atwah	CVCVVCVC	C-Va-C-Vi-Vi-C-Va-C	CVaCViViCVaC			
تَفْعِيل	atwah	CVCCVVC	C-Va-C-C-Vi-Vi-C	CVaCCViViC			
تَفَعُّل	atwah	CVCVCCVC	C-Va-C-Va-C-C-Vo-C	CVaCVaCCVoC			
تَفَاعُل	atwah	CVCVVCVC	C-Va-C-Va-Va-C-Vo-C	CVaCVaVaCVoC			
تَفْعِيلَة	atwah	CVCCVVCVC	C-Va-C-C-Vi-Vi-C-Va-C	CVaCCViViCVaC			
افْتِعَال	atwah	VVCCVCVVC	Va-C-C-Vi-C-Va-Va-C	VaVaCCViCVaVaC			
اسْتِفْعَال	atwah	VVCCVCCVVC	Va-C-C-Vi-C-C-Va-Va-C	VaVaCCViCCVaVaC			
مُفَاعَلَة	atwah	CVCVVCVCVC	C-Vo-C-Va-Va-C-Va-C-Va-C	CVoCVaVaCVaCVaC			
مُفَاعِل	atwah	CVCVVCVC	C-Vo-C-Va-Va-C-Vi-C	CVoCVaVaCViC			
مُفَعَّل	atwah	CVCVCCVC	C-Vo-C-Va-C-C-Va-C	CVoCVaCCVaC			
مُفَعِّل	atwah	CVCVCCVC	C-Vo-C-Va-C-C-Vi-C	CVoCVaCCViC			
مُفَاعَل	atwah	CVCVVCVC	C-Vo-C-Va-Va-C-Va-C	CVoCVaVaCVaC			
مُفَعْلِل	atwah	CVCVCCVC	C-Vo-C-Va-C-C-Vi-C	CVoCVaCCViC			
مُفَعْلَل	atwah	CVCVCCVC	C-Vo-C-Va-C-C-Va-C	CVoCVaCCVaC			
فُعَيْل	atwah	CVCVCC	C-Vo-C-Va-C-C	CVoCVaCC			
فُعَيْعِل	atwah	CVCVCCVC	C-Vo-C-Va-C-C-Vi-C	CVoCVaCCViC			
فُعَيْلان	atwah	CVCVCCVVC	C-Vo-C-Va-C-C-Va-C	CVoCVaCCVaVaC			
فَعَلِيّ	atwah	CVCVCVCC	C-Va-C-Va-C-Vi-C-C	CVaCVaCViCC			
فَعَّالَة	atwah	CVCCVVCVC	C-Va-C-C-Va-Va-C-Va-C	CVaCCVaVaCVaC			
فُعَيِّل	atwah	CVCVCCVC	C-Vo-C-Va-C-C-Vi-C	CVoCVaCCViC			
فُعَيْلَى	atwah	CVCVCCVV	C-Vo-C-Va-C-C-Va-C	CVoCVaCCVaVa			
تَفْعِيلِيّ	atwah	CVCCVVCVCC	C-Va-C-C-Vi-Vi-C-Vi-C-C	CVaCCViViCViCC			
فُعَيْلَاء	atwah	CVCVCCVVC	C-Vo-C-Va-C-C-Va-Va-C	CVoCVaCCVaVaC			
أَفْعِلَة	atwah	CVCCVCVC	C-Va-C-C-Vi-C-Va-C	CVaCCViCVaC			
فُعُّول	atwah	CVCCVVC	C-Vo-C-C-Vo-Vo-C	CVoCCVoVoC			
فِعَالِيَّة	atwah	CVCVVCVCCVC	C-Vi-C-Va-Va-C-Vi-C-C-Va-C	CViCVaVaCViCCVaC			
فَعَالِيَّة	atwah	CVCVVCVCCVC	C-Va-C-Va-Va-C-Vi-C-C-Va-C	CVaCVaVaCViCCVaC			
فَعُولِيَّة	atwah	CVCVVCVCCVC	C-Va-C-Vo-Vo-C-Vi-C-C-Va-C	CVaCVoVoCViCCVaC			
فِعَّالِيَّة	atwah	CVCCVVCVCCVC	C-Vi-C-C-Va-Va-C-Vi-C-C-Va-C	CViCCVaVaCViCCVaC			
فِعْلَى	atwah	CVCCVV	C-Vi-C-C-Va-C	CViCCVaVa			
فَعْلَى	atwah	CVCCVV	C-Va-C-C-Va-C	CVaCCVaVa			
فُعُولِيّ	atwah	CVCVVCVCC	C-Vo-C-Vo-Vo-C-Vi-C-C	CVoCVoVoCViCC			
مِفْعِل	atwah	CVCCVC	C-Vi-C-C-Vi-C	CViCCViC			
فَوْعَل	atwah	CVCCVC	C-Va-C-C-Va-C	CVaCCVaC			
فُعَيْلَة	atwah	CVCVCCVC	C-Vo-C-Va-C-C-Va-C	CVoCVaCCVaC			
فِعْلَة	atwah	CVCCVC	C-Vi-C-C-Va-C	CViCCVaC			
فَعْلِ	atwah	CVCCV	C-Va-C-C-Vi	CVaCCVi			
يَفْعُلُ	atwah	CVCCVCV	C-Va-C-C-Vo-C-Vo	CVaCCVoCVo			
يَفْعُل	atwah	CVCCVC	C-Va-C-C-Vo-C	CVaCCVoC			
تَفْعُلُ	atwah	CVCCVCV	C-Va-C-C-Vo-C-Vo	CVaCCVoCVo			
تَفْعُل	atwah	CVCCVC	C-Va-C-C-Vo-C	CVaCCVoC			
نَفْعُلُ	atwah	CVCCVCV	C-Va-C-C-Vo-C-Vo	CVaCCVoCVo			
نَفْعُل	atwah	CVCCVC	C-Va-C-C-Vo-C	CVaCCVoC			
فَاعِل	atwah	CVVCVC	C-Va-Va-C-Vi-C	CVaVaCViC	اسم فاعل	من قام بالفعل أو اتصف به	غير ثابت غالبًا
مُسْتَفْعِل	atwah	CVCCVCCVC	C-Vo-C-C-Va-C-C-Vi-C	CVoCCVaCCViC			
يَفْعُلُّ	atwah	CVCCVCCV	C-Va-C-C-Vo-C-C-Vo	CVaCCVoCCVo			
يُفْعِلُّ	atwah	CVCCVCCV	C-Vo-C-C-Vi-C-C-Vo	CVoCCViCCVo			
أَفْعَلَّ	atwah	CVCCVCCV	C-Va-C-C-Va-C-C-Va	CVaCCVaCCVa			
فَعَلَّ	atwah	CVCVCCV	C-Va-C-Va-C-C-Va	CVaCVaCCVa			
يَفْعِلُ	atwah	CVCCVCV	C-Va-C-C-Vi-C-Vo	CVaCCViCVo			
يَفْعَلُ	atwah	CVCCVCV	C-Va-C-C-Va-C-Vo	CVaCCVaCVo			
افْعَلْ	atwah	VVCCVC	Va-C-C-Va-C	VaVaCCVaC			
افْعَلُ	atwah	VVCCVCV	Va-C-C-Va-C-Vo	VaVaCCVaCVo			
فُلْ	atwah	CVC	C-Vo-C	CVoC			
فِلْ	atwah	CVC	C-Vi-C	CViC			
يَتَفَعَّلُ	atwah	CVCVCVCCVCV	C-Va-C-Va-C-Va-C-C-Va-C-Vo	CVaCVaCVaCCVaCVo			
يَسْتَفْعِلُ	atwah	CVCCVCCVCV	C-Va-C-C-Va-C-C-Vi-C-Vo	CVaCCVaCCViCVo			
فِيعَال	atwah	CVVCVVC	C-Vi-Vi-C-Va-Va-C	CViViCVaVaC			
فَعَوْ	atwah	CVCVC	C-Va-C-Va-C	CVaCVaC			
فَعَ	atwah	CVCV	C-Va-C-Va	CVaCVa			
افْعُ	atwah	VVCCV	Va-C-C-Vo	VaVaCCVo			
فُعَلَاءُ	atwah	CVCVCVVCV	C-Vo-C-Va-C-Va-Va-C-Vo	CVoCVaCVaVaCVo			
افْعَلَلَّ	atwah	VVCCVCVCCV	Va-C-C-Va-C-Va-C-C-Va	VaVaCCVaCVaCCVa			
يُفَعِّلُ	atwah	CVCVCCVCV	C-Vo-C-Va-C-C-Vi-C-Vo	CVoCVaCCViCVo			
مُتَفَاعِلَ	atwah	CVCVCVVCVCV	C-Vo-C-Va-C-Va-Va-C-Vi-C-Va	CVoCVaCVaVaCViCVa			
يُفَاعِلُ	atwah	CVCVVCVCV	C-Vo-C-Va-Va-C-Vi-C-Vo	CVoCVaVaCViCVo			
عِ	atwah	CV	C-Vi	CVi			
يَتَفَعَّلْ	atwah	CVCVCVCCVC	C-Va-C-Va-C-Va-C-C-Va-C	CVaCVaCVaCCVaC			
فَعَالَى	atwah	CVCVVCVV	C-Va-C-Va-Va-C-Va-C	CVaCVaVaCVaVa			
افْتَعِل	atwah	VVCCVCVC	Va-C-C-Va-C-Vi-C	VaVaCCVaCViC			
افْتَعَلْ	atwah	VVCCVCVC	Va-C-C-Va-C-Va-C	VaVaCCVaCVaC			
مُسْتَفْعَلٌ	atwah	CVCCVCCVCV	C-Vo-C-C-Va-C-C-Va-C-Vo-C	CVoCCVaCCVaCVo			
مُتَفَعِّل	atwah	CVCVCVCCVC	C-Vo-C-Va-C-Va-C-C-Vi-C	CVoCVaCVaCCViC			
مَافُلْ	atwah	CVVCVC	C-Va-Va-C-Vo-C	CVaVaCVoC			
تَفَعَّلُ	atwah	CVCVCCVCV	C-Va-C-Va-C-C-Va-C-Vo	CVaCVaCCVaCVo			
فَاعِلِ	atwah	CVVCVCV	C-Va-Va-C-Vi-C-Vi	CVaVaCViCVi			
يَتَفَاعَلُ	atwah	CVCVCVVCVCV	C-Va-C-Va-C-Va-Va-C-Va-C-Vo	CVaCVaCVaVaCVaCVo			
اسْتَفْعِلْ	atwah	VVCCVCCVC	Va-C-C-Va-C-C-Vi-C	VaVaCCVaCCViC			
مُتَفَاعِلٍ	atwah	CVCVCVVCVCV	C-Vo-C-Va-C-Va-Va-C-Vi-C-Vi-C	CVoCVaCVaVaCViCVi			
يَتَفَاعَلُّ	atwah	CVCVCVVCVCCV	C-Va-C-Va-C-Va-Va-C-Va-C-C-Vo	CVaCVaCVaVaCVaCCVo			
اسْتَفْعَلُوا	atwah	VVCCVCCVCVVVV	Va-C-C-Va-C-C-Va-C-Vo-Vo-Va	VaVaCCVaCCVaCVoVoVaVa			
مُفَاعِلٍ	atwah	CVCVVCVCV	C-Vo-C-Va-Va-C-Vi-C-Vi-C	CVoCVaVaCViCVi			
فَعْلُ	atwah	CVCCV	C-Va-C-C-Vo	CVaCCVo			
فَعْلَلَ	atwah	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
فَوْعَلَ	atwah	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
فَعْوَلَ	atwah	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
فَيْعَلَ	atwah	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
فَعْيَلَ	atwah	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
فَعْنَلَ	atwah	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
فَعْل	claude	CVCC	C-Va-C-C	CVaCC	مصدر	أصل الحدث	
فُعْل	claude	CVCC	C-Vo-C-C	CVoCC			
فُعْلَى	claude	CVCCVV	C-Vo-C-C-Va-C	CVoCCVaVa			
فِعْل	claude	CVCC	C-Vi-C-C	CViCC			
أَفْعَلَ	claude	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
أَفْعُل	claude	CVCCVC	C-Va-C-C-Vo-C	CVaCCVoC			
إِفْعَال	claude	CVCCVVC	C-Vi-C-C-Va-Va-C	CViCCVaVaC			
فَاعِلَة	claude	CVVCVCVC	C-Va-Va-C-Vi-C-Va-C	CVaVaCViCVaC			
فَعَال	claude	CVCVVC	C-Va-C-Va-Va-C	CVaCVaVaC			
فَعَالَة	claude	CVCVVCVC	C-Va-C-Va-Va-C-Va-C	CVaCVaVaCVaC			
فَعَّلَ	claude	CVCCVCV	C-Va-C-C-Va-C-Va	CVaCCVaCVa			
فَعُول	claude	CVCVVC	C-Va-C-Vo-Vo-C	CVaCVoVoC			
فُعَال	claude	CVCVVC	C-Vo-C-Va-Va-C	CVoCVaVaC			
فُعَالَة	claude	CVCVVCVC	C-Vo-C-Va-Va-C-Va-C	CVoCVaVaCVaC			
فُعُول	claude	CVCVVC	C-Vo-C-Vo-Vo-C	CVoCVoVoC	جمع تكسير	جمع عام	
فُعْلَة	claude	CVCCVC	C-Vo-C-C-Va-C	CVoCCVaC			
مَفْعِلَة	claude	CVCCVCVC	C-Va-C-C-Vi-C-Va-C	CVaCCViCVaC			
مُفَعَّل	claude	CVCVCCVC	C-Vo-C-Va-C-C-Va-C	CVoCVaCCVaC			
مُفَعِّل	claude	CVCVCCVC	C-Vo-C-Va-C-C-Vi-C	CVoCVaCCViC			
مُفْعَل	claude	CVCCVC	C-Vo-C-C-Va-C	CVoCCVaC			
مُفْعِل	claude	CVCCVC	C-Vo-C-C-Vi-C	CVoCCViC			
يُفَعِّلُ	claude	CVCVCCVCV	C-Vo-C-Va-C-C-Vi-C-Vo	CVoCVaCCViCVo			
يُفْعِلُ	claude	CVCCVCV	C-Vo-C-C-Vi-C-Vo	CVoCCViCVo			
يُفْعِل	claude	CVCCVC	C-Vo-C-C-Vi-C	CVoCCViC			
يُفْعِلُونَ	claude	CVCCVCVVCV	C-Vo-C-C-Vi-C-Vo-Vo-C	CVoCCViCVoVoCVa			
يُفْعِلُون	claude	CVCCVCVVC	C-Vo-C-C-Vi-C-Vo-Vo-C	CVoCCViCVoVoC			
أَفَاعِل	claude	CVCVVCVC	C-Va-C-Va-Va-C-Vi-C	CVaCVaVaCViC			
أُفْعُول	claude	CVCCVVC	C-Vo-C-C-Vo-Vo-C	CVoCCVoVoC			
افْعَلَّ	claude	VVCCVCCV	Va-C-C-Va-C-C-Va	VaVaCCVaCCVa			
افْعِلَال	claude	VVCCVCVVC	Va-C-C-Vi-C-Va-Va-C	VaVaCCViCVaVaC			
انْفِعَال	claude	VVCCVCVVC	Va-C-C-Vi-C-Va-Va-C	VaVaCCViCVaVaC			
تَفَعَّلَ	claude	CVCVCCVCV	C-Va-C-Va-C-C-Va-C-Va	CVaCVaCCVaCVa			
تَفَعُّل	claude	CVCVCCVC	C-Va-C-Va-C-C-Vo-C	CVaCVaCCVoC			
تِفْعَال	claude	CVCCVVC	C-Vi-C-C-Va-Va-C	CViCCVaVaC			
فَاعُول	claude	CVVCVVC	C-Va-Va-C-Vo-Vo-C	CVaVaCVoVoC			
فَاعِيل	claude	CVVCVVC	C-Va-Va-C-Vi-Vi-C	CVaVaCViViC			
فَعَالِل	claude	CVCVVCVC	C-Va-C-Va-Va-C-Vi-C	CVaCVaVaCViC			
فَعَالِيل	claude	CVCVVCVVC	C-Va-C-Va-Va-C-Vi-Vi-C	CVaCVaVaCViViC			
فَعَلَان	claude	CVCVCVVC	C-Va-C-Va-C-Va-Va-C	CVaCVaCVaVaC			
فَعَّال	claude	CVCCVVC	C-Va-C-C-Va-Va-C	CVaCCVaVaC			
فَعُولَة	claude	CVCVVCVC	C-Va-C-Vo-Vo-C-Va-C	CVaCVoVoCVaC			
فُعَالَى	claude	CVCVVCVV	C-Vo-C-Va-Va-C-Va-C	CVoCVaVaCVaVa			
فُعَيْعَى	claude	CVCVCCVV	C-Vo-C-Va-C-C-Va-C	CVoCVaCCVaVa			
فُعَّال	claude	CVCCVVC	C-Vo-C-C-Va-Va-C	CVoCCVaVaC			
فُعُولَة	claude	CVCVVCVC	C-Vo-C-Vo-Vo-C-Va-C	CVoCVoVoCVaC			
فُعْلَان	claude	CVCCVVC	C-Vo-C-C-Va-Va-C	CVoCCVaVaC			
فِعِّيل	claude	CVCCVVC	C-Vi-C-C-Vi-Vi-C	CViCCViViC			
فِعْلَان	claude	CVCCVVC	C-Vi-C-C-Va-Va-C	CViCCVaVaC			
فِعْيَال	claude	CVCCVVC	C-Vi-C-C-Va-Va-C	CViCCVaVaC			
مَفَاعِل	claude	CVCVVCVC	C-Va-C-Va-Va-C-Vi-C	CVaCVaVaCViC			
مَفْعَال	claude	CVCCVVC	C-Va-C-C-Va-Va-C	CVaCCVaVaC			
مُتَفَاعَل	claude	CVCVCVVCVC	C-Vo-C-Va-C-Va-Va-C-Va-C	CVoCVaCVaVaCVaC			
مُتَفَاعِل	claude	CVCVCVVCVC	C-Vo-C-Va-C-Va-Va-C-Vi-C	CVoCVaCVaVaCViC			
مُتَفَعَّل	claude	CVCVCVCCVC	C-Vo-C-Va-C-Va-C-C-Va-C	CVoCVaCVaCCVaC			
مُتَفَعِّل	claude	CVCVCVCCVC	C-Vo-C-Va-C-Va-C-C-Vi-C	CVoCVaCVaCCViC			
مُفْتَعَل	claude	CVCCVCVC	C-Vo-C-C-Va-C-Va-C	CVoCCVaCVaC			
مُفْتَعِل	claude	CVCCVCVC	C-Vo-C-C-Va-C-Vi-C	CVoCCVaCViC			
مُنْفَعَل	claude	CVCCVCVC	C-Vo-C-C-Va-C-Va-C	CVoCCVaCVaC			
مُنْفَعِل	claude	CVCCVCVC	C-Vo-C-C-Va-C-Vi-C	CVoCCVaCViC			
مِفْعَلَة	claude	CVCCVCVC	C-Vi-C-C-Va-C-Va-C	CViCCVaCVaC	اسم آلة / هيئة	آلة أو هيئة الفعل	مثال: مِكْنَسَة
يَفْتَعِلُ	claude	CVCCVCVCV	C-Va-C-C-Va-C-Vi-C-Vo	CVaCCVaCViCVo			
يَفْعَلُّ	claude	CVCCVCCV	C-Va-C-C-Va-C-C-Vo	CVaCCVaCCVo			
يَنْفَعِلُ	claude	CVCCVCVCV	C-Va-C-C-Va-C-Vi-C-Vo	CVaCCVaCViCVo			
أَفَاعِلَة	claude	CVCVVCVCVC	C-Va-C-Va-Va-C-Vi-C-Va-C	CVaCVaVaCViCVaC			
أَفَاعِيل	claude	CVCVVCVVC	C-Va-C-Va-Va-C-Vi-Vi-C	CVaCVaVaCViViC			
إِفْعِيلَال	claude	CVCCVVCVVC	C-Vi-C-C-Vi-Vi-C-Va-Va-C	CViCCViViCVaVaC			
افْعَالَّ	claude	VVCCVVCCV	Va-C-C-Va-Va-C-C-Va	VaVaCCVaVaCCVa			
افْعَوَّلَ	claude	VVCCVCCVCV	Va-C-C-Va-C-C-Va-C-Va	VaVaCCVaCCVaCVa			
افْعَوْعَلَ	claude	VVCCVCCVCV	Va-C-C-Va-C-C-Va-C-Va	VaVaCCVaCCVaCVa			
افْعِوَّال	claude	VVCCVCCVVC	Va-C-C-Vi-C-C-Va-Va-C	VaVaCCViCCVaVaC			
افْعِيعَال	claude	VVCCVVCVVC	Va-C-C-Vi-Vi-C-Va-Va-C	VaVaCCViViCVaVaC			
تَفَاعِيل	claude	CVCVVCVVC	C-Va-C-Va-Va-C-Vi-Vi-C	CVaCVaVaCViViC			
فَاعِلَات	claude	CVVCVCVVC	C-Va-Va-C-Vi-C-Va-Va-C	CVaVaCViCVaVaC			
فَاعِلُون	claude	CVVCVCVVC	C-Va-Va-C-Vi-C-Vo-Vo-C	CVaVaCViCVoVoC			
فَاعِلِيَّة	claude	CVVCVCVCCVC	C-Va-Va-C-Vi-C-Vi-C-C-Va-C	CVaVaCViCViCCVaC			
فَعَالِلَة	claude	CVCVVCVCVC	C-Va-C-Va-Va-C-Vi-C-Va-C	CVaCVaVaCViCVaC			
فَعَلِيَّة	claude	CVCVCVCCVC	C-Va-C-Va-C-Vi-C-C-Va-C	CVaCVaCViCCVaC			
فَعَّالُون	claude	CVCCVVCVVC	C-Va-C-C-Va-Va-C-Vo-Vo-C	CVaCCVaVaCVoVoC			
فَعْلَوِيَّة	claude	CVCCVCVCCVC	C-Va-C-C-Va-C-Vi-C-C-Va-C	CVaCCVaCViCCVaC			
فَوَاعِيل	claude	CVCVVCVVC	C-Va-C-Va-Va-C-Vi-Vi-C	CVaCVaVaCViViC			
فُعَالِيل	claude	CVCVVCVVC	C-Vo-C-Va-Va-C-Vi-Vi-C	CVoCVaVaCViViC			
فُعَيْلَان	claude	CVCVCCVVC	C-Vo-C-Va-C-C-Va-Va-C	CVoCVaCCVaVaC			
فُعْلُيَّة	claude	CVCCVCCVC	C-Vo-C-C-Vo-C-C-Va-C	CVoCCVoCCVaC			
فِعَالِيل	claude	CVCVVCVVC	C-Vi-C-Va-Va-C-Vi-Vi-C	CViCVaVaCViViC			
مَفْعُولَات	claude	CVCCVVCVVC	C-Va-C-C-Vo-Vo-C-Va-Va-C	CVaCCVoVoCVaVaC			
مَفْعُولِيَّة	claude	CVCCVVCVCCVC	C-Va-C-C-Vo-Vo-C-Vi-C-C-Va-C	CVaCCVoVoCViCCVaC			
مُتَفَاعِلَة	claude	CVCVCVVCVCVC	C-Vo-C-Va-C-Va-Va-C-Vi-C-Va-C	CVoCVaCVaVaCViCVaC			
مُتَفَعِّلَة	claude	CVCVCVCCVCVC	C-Vo-C-Va-C-Va-C-C-Vi-C-Va-C	CVoCVaCVaCCViCVaC			
مُسْتَفْعَل	claude	CVCCVCCVC	C-Vo-C-C-Va-C-C-Va-C	CVoCCVaCCVaC			
مُفْعَوْعَل	claude	CVCCVCCVC	C-Vo-C-C-Va-C-C-Va-C	CVoCCVaCCVaC			
مُفْعَوْعِل	claude	CVCCVCCVC	C-Vo-C-C-Va-C-C-Vi-C	CVoCCVaCCViC			
يَفَاعِيل	claude	CVCVVCVVC	C-Va-C-Va-Va-C-Vi-Vi-C	CVaCVaVaCViViC			
يَفْعَالُّ	claude	CVCCVVCCV	C-Va-C-C-Va-Va-C-C-Vo	CVaCCVaVaCCVo			
يَفْعَوْعِلُ	claude	CVCCVCCVCV	C-Va-C-C-Va-C-C-Vi-C-Vo	CVaCCVaCCViCVo			
أَفَاعِيلَة	claude	CVCVVCVVCVC	C-Va-C-Va-Va-C-Vi-Vi-C-Va-C	CVaCVaVaCViViCVaC			
اسْتَفْعَالَة	claude	VVCCVCCVVCVC	Va-C-C-Va-C-C-Va-Va-C-Va-C	VaVaCCVaCCVaVaCVaC			
اسْتِفْعَالِيَّة	claude	VVCCVCCVVCVCCVC	Va-C-C-Vi-C-C-Va-Va-C-Vi-C-C-Va-C	VaVaCCViCCVaVaCViCCVaC			
تَفَاعِيلَة	claude	CVCVVCVVCVC	C-Va-C-Va-Va-C-Vi-Vi-C-Va-C	CVaCVaVaCViViCVaC			
فَعَالِيلَة	claude	CVCVVCVVCVC	C-Va-C-Va-Va-C-Vi-Vi-C-Va-C	CVaCVaVaCViViCVaC			
فَوَاعِلِيَّة	claude	CVCVVCVCVCCVC	C-Va-C-Va-Va-C-Vi-C-Vi-C-C-Va-C	CVaCVaVaCViCViCCVaC			
فُعَيْلِيَّة	claude	CVCVCCVCCVC	C-Vo-C-Va-C-C-Vi-C-C-Va-C	CVoCVaCCViCCVaC			
مَفَاعِلِيَّة	claude	CVCVVCVCVCCVC	C-Va-C-Va-Va-C-Vi-C-Vi-C-C-Va-C	CVaCVaVaCViCViCCVaC			
مَفَاعِيلَة	claude	CVCVVCVVCVC	C-Va-C-Va-Va-C-Vi-Vi-C-Va-C	CVaCVaVaCViViCVaC			
مُتَفَاعِلُون	claude	CVCVCVVCVCVVC	C-Vo-C-Va-C-Va-Va-C-Vi-C-Vo-Vo-C	CVoCVaCVaVaCViCVoVoC			
مُتَفَعِّلُون	claude	CVCVCVCCVCVVC	C-Vo-C-Va-C-Va-C-C-Vi-C-Vo-Vo-C	CVoCVaCVaCCViCVoVoC			
مُسْتَفْعَلَة	claude	CVCCVCCVCVC	C-Vo-C-C-Va-C-C-Va-C-Va-C	CVoCCVaCCVaCVaC			
مُسْتَفْعَلُون	claude	CVCCVCCVCVVC	C-Vo-C-C-Va-C-C-Va-C-Vo-Vo-C	CVoCCVaCCVaCVoVoC			
مُسْتَفْعِلَة	claude	CVCCVCCVCVC	C-Vo-C-C-Va-C-C-Vi-C-Va-C	CVoCCVaCCViCVaC			
مُسْتَفْعِلُون	claude	CVCCVCCVCVVC	C-Vo-C-C-Va-C-C-Vi-C-Vo-Vo-C	CVoCCVaCCViCVoVoC			
مُفْتَعِلَة	claude	CVCCVCVCVC	C-Vo-C-C-Va-C-Vi-C-Va-C	CVoCCVaCViCVaC			
