category,description,example,notes,phoneme_char
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),حرف التاء من الحروف الأساسية في العربية، ويسهم في وضوح المعنى وقوّته عبر تصريف الأفعال (تكلّمتُ، تكلّمتَ) وتحديد الفاعل والمخاطب بدقة. كما يُستخدم للتوكيد والقسم (تاللهِ)، أو للدلالة على المبالغة والمشاركة (اجتهدتُ، اقتتلوا). كل ذلك يعزز الفصاحة والبيان في التعبير.,"(تَكَلَّمْتُ، تَكَلَّمْتَ، تَكَلَّمْتِ)
تَاللهِ، اجْتَهَدْتُ، اقْتَتَلُوا",NULL,ت
أثره على الإيحاءات العاطفية والنفسية في السّياق,"حرف التاء، كصوت انفجاري مهموس، قد يُستخدم في كلمات تُعبّر عن القسوة أو التردد (""تأنيب""، ""توتر"") أو الرقة والنعومة (""تمتمة""، ""تنهيدة""). وقد يرمز أحيانًا في الشعر والأدب إلى الانتظار أو الحركة، مما يثري الإيحاءات العاطفية للنص. أمثلة: ""تردد""، ""توتر""، ""تواسي""، ""تنهيدة"".","تَأَنِيب، تَوَتُّر
تَمْتَمَة، تَنْهِيدَة
تُوَاسِي، تَرَفَّق",NULL,ت
التحوّل في معنى الكلمة,"قد يؤثر حرف الثاء على تحول المعنى عند زيادته في التضعيف، مثل زيادة الثاء في بعض الأفعال أو الكلمات، مما ينقلها من معنى إلى آخر (كالانتقال من ""مثل"" إلى ""مثَّل"" = التمثيل).","مثَّل (انتقل المعنى من ""مثل"" بمعنى حضر إلى ""التمثيل"")",NULL,ث
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),الحرف لا علاقة له في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ) .,*,NULL,ث
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),الحرف لا علاقة له في التقديم والتأخير .,*,NULL,ث
دوره في التوكيد (لإبراز المعنى وتقويته),الحرف لا علاقة له بالتوكيد.,*,NULL,ث
دوره في الإنكار (لإظهار الدهشة والاستغراب),لا علاقة له في هذا السياق.,*,NULL,ث
دوره في التلاعب اللفظي والجناس (السجع - الجناس - التكرار),يمكن أن يُستعمل حرف الثاء في السجع والجناس والتكرار لتحسين الإيقاع الصوتي، كونه حرفًا ذا جَرْس واضح.,الحقُّ ثبتَ، والصدقُ أثبتَ,NULL,ث
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),يتميز الثاء بأنه صوت مهموس رخْو فيه صفير خفيف، يضفي لطفًا ورقّةً على الجملة عند استخدامه في مواضع السكون أو التوسط بين الحروف الشديدة، مما يكسر حدة الجمل.,"قول النبي ﷺ: ""ثلاثة لا يُردّ دعاؤهم"" — فيه طلاوة وانتظام صوتي مميز.",NULL,ث
أثره على الإيحاءات العاطفية والنفسية في السّياق,قد يضفي استخدام الثاء بعدًا إيحائيًا دالًا على الرسوخ أو الثبات في بعض الكلمات، مما يقوّي المعنى ويؤثر في النبرة العاطفية للنص.,"مثلاً في كلمات مثل ""ثبات""، ""مثابر""، ""تثبّت"" تُوحي بالاستقرار والديمومة.",NULL,ث
التحوّل في معنى الكلمة,لا يؤثر حرف الجيم على الكلمة عند إضافته.,NULL,NULL,ج
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الجيم في النفي أو التحذير، إذ إنه لا يضيف وظيفة زمنية خاصة.,*,NULL,ج
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الجيم بأسلوب التقديم والتأخير.,*,NULL,ج
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا يؤثر حرف الجيم على التوكيد؛ فهو من بنيــة الكلمة فحسب.,NULL,NULL,ج
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),لا يتعلق حرف الجيم بالدهشة أو الاستغراب.,*,NULL,ج
دوره في التلاعب اللفظي والجناس (السجع - الجناس - التكرار),ليس له دور نحوي مباشر إلا إنْ دَخَل في المحسنات البديعية.,NULL,NULL,ج
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),ليس له دور مباشر في الفصاحة والبيان إلا من خلال السياق ووجوده في بنية الكلمة.,*,NULL,ج
أثره على الإيحاءات العاطفية والنفسية في السّياق,لا يؤدي حرف الجيم دورًا أساسيًا في الإيحاءات العاطفية أو النفسية في النص.,*,NULL,ج
التحوّل في معنى الكلمة,لا يؤثر حرف الحاء على بنية الكلمة في المعنى.,NULL,NULL,ح
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل الحاء بصورة مستقلة في النفي أو التحذير أو دلالات الزمن.,*,NULL,ح
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),لا يتعلق حرف الحاء بالتقديم أو التأخير.,*,NULL,ح
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا يتعلق حرف الحاء في التوكيد .,*,NULL,ح
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),لا يوجد له دور الإنكار,*,NULL,ح
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),ليس له دور مباشر في المحسنات البديعية.,*,NULL,ح
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لا يؤدي حرف الحاء دورًا أساسيًا في الفصاحة والبيان.,*,NULL,ح
أثره على الإيحاءات العاطفية والنفسية في السّياق,لا يؤدي حرف الحاء دورًا أساسيًا في الإيحاءات العاطفية أو النفسية في السياق.,*,NULL,ح
التحوّل في معنى الكلمة,لا يؤثر حرف الخاء على بنية الكلمة في المعنى لأنه يكون أصليًا في الجذر.,*,NULL,خ
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الخاء في النفي أو التحذير أو أي دلالة زمنية محددة.,*,NULL,خ
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),حرف الخاء لا علاقة له بأسلوب التقديم والتأخير ولا يُحدث تغييرًا في المعنى من هذه الجهة.,*,NULL,خ
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا دور له في التوكيد,*,NULL,خ
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),لا يتعلق حرف الخاء بالإنكار.,*,NULL,خ
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),ليس له دور مباشر في المحسنات البديعية، لكنه قد يرد في بنية الكلمة المستخدَمة في جناس أو سجع.,NULL,NULL,خ
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لا يوجد له دور,*,NULL,خ
أثره على الإيحاءات العاطفية والنفسية في السّياق,لا يؤدي حرف الخاء دورًا عاطفيًا أو نفسيًا أساسيًا في السياق.,*,NULL,خ
التحوّل في معنى الكلمة,لا يؤثر على بنية الكلمة في المعنى لأنه يكون أصليًا لا زائدًا .,*,NULL,د
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل الدال في النفي والتحذير.,*,NULL,د
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الدال بالتقديم والتأخير.,*,NULL,د
دوره في التوكيد ( لإبراز المعنى وتقويته ),يأتي حرف الدال لإبراز المعنى وتقويته في بعض الكلمات، خاصة عند التضعيف.,ودّاد,NULL,د
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),ليس لحرف الدال دور بارز في الإنكار أو الدهشة، لكنه قد يرد في بعض السياقات التي تعبّر عن استغراب أو دهشة.,"دَعَاهُ يفعل ذلك!
دَهِشْتُ لما سمعت الخبر!",NULL,د
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"نظرًا لصفات حرف الدال، فقد استُخدم في أساليب السجع والجناس. يظهر في كلمات عدّة، منها ما ورد في سورة الإخلاص: تكرّر لفظ ""أحد"" بصور مختلفة.","قُلۡ هُوَ ٱللَّهُ أَحَدٌ
ٱللَّهُ ٱلصَّمَدُ
لَمۡ يَلِدۡ وَلَمۡ يُولَدۡ
وَلَمۡ يَكُن لَّهُۥ كُفُوًا أَحَدُ",NULL,د
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),"حرف ""الدال"" يؤثر في بناء الجملة ووضوح المعنى وتقوية الفصاحة، إذ قد يضيف بعدًا إيقاعيًا أو دلاليًا. مثال: ""دَلَّتِ السماءُ على المطر""؛ حيث يشير إلى دلالة واضحة.",دَلَّتِ السماءُ على المطر,NULL,د
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس للدال دورًا أساسيًا في الإيحاءات العاطفية أو النفسية.,*,NULL,د
التحوّل في معنى الكلمة,لا يؤثر حرف الذال على بنية الكلمة في المعنى؛ لأنه يكون أصليًا في الجذر، فتأخذ الكلمة معناها الكلي من تركيبها.,*,NULL,ذ
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الذال في النفي أو التحذير.,*,NULL,ذ
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يوجد له دور في التقديم والتأخير,*,NULL,ذ
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا يوجد له دور في التوكيد,*,NULL,ذ
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),ليس لحرف الذال دور مستقل في الإنكار أو الدهشة، وإن وُجد فإنما هو في السياق اللغوي لا في الحرف ذاته.,*,NULL,ذ
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"نظرًا لصفات حرف الذال، فقد تُوظَّف ألفاظه في الجناس والسجع. مثال: ""ذَنْب"" (الإثم) و""ذَنَب"" (الذيل للحيوان)؛ هذا التشابه الصوتي يخلق جناسًا في بعض النصوص البلاغية.","ذَنْب بسكون النون
ذَنَب بفتح النون",NULL,ذ
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),"قد يُستخدم حرف الذال في بعض اللهجات أو الأساليب للتعبير عن الإنكار أو الدهشة أو الاستغراب، لكنه ليس له دور منفرد في العربية الفصحى. يمكن أن يساهم في قوة المعنى حسب تركيب الكلمة، كما في ""أَعْجِبْ بِأَخْذِكَهُ""؛ إذ يضيف عمقًا للعبارة.",أَعْجِبْ بِأَخْذِكَهُ، وأَعْجَبُ مِنْكُمَا أَنْ لَا تَكُونَ لِمِثْلِهِ أَخَّاذَا,NULL,ذ
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس لحرف الذال دورًا أساسيًا في الإيحاءات العاطفية.,*,NULL,ذ
التحوّل في معنى الكلمة,لا يؤثر على بنية الكلمة في المعنى لأنه يكون أصليًا فيها.,NULL,NULL,ر
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الراء في النفي أو التحذير، ولا يؤدي وظيفة زمنية خاصة.,*,NULL,ر
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الراء بأسلوب التقديم والتأخير، فلا يؤثر في لفت الانتباه أو المعنى من هذه الجهة.,*,NULL,ر
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا يوجد له دور في التوكيد,*,NULL,ر
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),قد يرد حرف الراء في السياقات الإنكارية، لكنها لا ترتبط بخصيصة الإنكار في ذاته.,*,NULL,ر
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"له دور مباشر في المحسنات البديعية إذا وردت الراء في مواضع السجع والجناس والطباق، كما في: ""استقرّ الأمرُ وانتشرَ الخيرُ"" (سجع)، ""كرَّ ثم فرَّ"" (طباق).","استقرّ الأمرُ وانتشرَ الخيرُ
كرَّ ثم فرَّ
وَقَبْرُ حَرْبٍ بِمَكَانٍ قَفْرٍ...",NULL,ر
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لا بوجد له دور في الفصاحة والبيان .,*,NULL,ر
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس له دورًا أساسيًا في الإيحاءات العاطفية والنفسية، إذ يرتبط ذلك غالبًا بدلالة الكلمة نفسها ضمن السياق.,*,NULL,ر
التحوّل في معنى الكلمة,لا يؤثر حرف الزاي على بنية الكلمة في المعنى؛ لأنه يكون أصليًا فيها، فالمعنى يُستمد من الكلمة كلها لا من الحرف وحده.,"زَعْفَرَان
زَيْت
زَئِير",NULL,ز
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الزاي في النفي أو التحذير.,*,NULL,ز
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الزاي بالتقديم والتأخير.,*,NULL,ز
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا يوجد له دور,*,NULL,ز
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),لا يوجد له دور في الإنكار,*,*,ز
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"يظهر الجناس الناقص في قوله تعالى: {وَيْلٌ لِّكُلِّ هُمَزَةٍ لُّمَزَةٍ} بين ""همزة"" و""لمزة""؛ فقد اختلفتا في حرفين (الهاء واللام)، واتفقتا في بقية الشروط. كما يستخدم حرف الزاي أحيانًا في السجع والشعر لخلق إيقاع أو روي متقارب.","بُنَيَّ إِذا ما سامَكَ الذُلَّ قاهِرٌ
عَزيزٌ فَبَعضُ الذُلِّ أَبقى وَأَحرَزُ
... إلخ",NULL,ز
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),ليس له دور في الفصاحة والبيان,*,NULL,ز
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس للزاي دورًا أساسيًا في الإيحاءات العاطفية أو النفسية، إذ يعتمد ذلك على دلالة الكلمة نفسها في السياق.,*,NULL,ز
التحوّل في معنى الكلمة,قد يؤدي وجود السين إلى تغيّر دلالة الكلمة، خاصة عند زيادتها، فيعطي معاني جديدة مثل الطلب أو التحوّل أو المطاوعة.,"كتب → استكتب (طلب الكتابة)
قام → استقام (تحوّل إلى القيام باستمرار)",NULL,س
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),"- السين في الأفعال المضارعة تدل على الاستقبال القريب أو التسويف.
- قد تستعمل للتحذير والوعيد في مواضع قرآنية.","سأكتب (استقبال قريب)
سيعلمون (تحذير ووعيد، التكاثر: 3)",NULL,س
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),قد يأتي السين متقدّمًا في الجملة لتعجيل المعنى أو التشويق، وقد يُؤخَّر لإبراز الفاعل أو المبتدأ أولًا.,"سيفوز المجتهد (توكيد سريع)
المجتهد سيفوز (تركيز على الفاعل)",NULL,س
دوره في التوكيد ( لإبراز المعنى وتقويته ),قد يُستخدم السين لتوكيد المستقبل القريب، مما يزيد من يقينية الحدث في ذهن المستمع.,سيحدث ذلك قريبًا، سترى الفرق بنفسك,NULL,س
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),قد يُستخدم السين في سياق إنكاري، خاصة عند التعجب من أمر غير متوقّع.,أسينجح هذا الطالب بعد كل تقصيره؟!,NULL,س
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),حرف السين يُستخدم بكثرة في السجع والجناس والتكرار لتعزيز الجمال اللفظي والإيقاع.,سلامٌ على سامعِ السّلام (سجع)، ساء سعيُهم (جناس ناقص),NULL,س
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),السين من الأحرف التي تُسهم في تحسين الإيقاع، خاصة في النصوص القرآنية والشعر، ما يعزّز وضوح المعنى وقوّته.,سيعلم الذين ظلموا أيَّ منقلبٍ ينقلبون (الشعراء: 227),NULL,س
أثره على الإيحاءات العاطفية والنفسية في السّياق,السين حرف رخو مهم في الإيقاع الصوتي، قد يضفي شعورًا بالسكينة أو ينقل معنى التسويف أو التهديد، مما يوحي بالجدية أو الخوف في بعض السياقات.,"سلامٌ عليك يومَ وُلدتَ...
سيعلم الذين ظلموا أيَّ منقلبٍ ينقلبون",NULL,س
التحوّل في معنى الكلمة,لا يؤثر على بنية الكلمة في المعنى لأنه يكون أصليًا.,NULL,NULL,ش
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل الشين في النفي والتحذير.,*,NULL,ش
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الشين بالتقديم والتأخير.,*,NULL,ش
دوره في التوكيد ( لإبراز المعنى وتقويته ),لا يوجد له دور,*,NULL,ش
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),ليس لحرف الشين دور في الانكار والدهشة.,*,NULL,ش
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"يُعتبر حرف الشين من الأحرف التي تُستخدم بشكل واضح في الأساليب البلاغية مثل السجع والجناس نظرًا لصفاته، وخصوصًا عند تكرار صوت ""ش"" في الكلام.","شَجَعَ الشجعانَ على الشجاعة
والحُسن يظهر في شيئين رونقه ... بيت من الشعر أو بيتٍ من الشعر",NULL,ش
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),ليس له دورًا أساسيًا,*,NULL,ش
أثره على الإيحاءات العاطفية والنفسية في السّياق,ليس له دورًا أساسيًا في الإيحاءات العاطفية في السياق إلا من خلال معاني الكلمات.,*,NULL,ش
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"يُعتبر حرف الصاد (ص) من الأحرف القوية في اللغة العربية، ويستخدم بشكل ملحوظ في الأساليب البلاغية مثل السجع، الجناس،
والتكرار",القصص ، قصصنا ، فاقصص، ( منْ طَلَبَ الرُخْصِ، وَقَعَ في النَّقْصِ ) .,NULL,ص
أثره على الإيحاءات العاطفية والنفسية في السّياق,لا تؤثر,NULL,NULL,ص
دوره في الفصاحة والبيان( تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته ),يُعدّ حرف الصاد من الأحرف القوية والمجهورة في اللغة العربية، مما يجعله مؤثرًا في تحسين البناء اللفظي للجملة، وزيادة وضوح المعنى وقوّته,"""صَهِيلُ الخَيْلِ في الميدان يزيدها شجاعة
الصَّبْرُ مرّ، لكن عَاقِبَته صَواب""",NULL,ص
دوره في الإنكار ( لإظهار الدهشة والاستغراب  ),ليس لحرف الصاد دور في الانكار والدهشة,*,NULL,ص
دوره في التوكيد ( لإبراز المعنى وتقويته ),ليس من أدوات التوكيد,*,NULL,ص
علاقته في التقديم والتأخير (  وأثر ذلك في المعنى  وإثارة الانتباه ),لا يتعلق حرف الصاد بالتقديم والتأخير,*,NULL,ص
التحوّل في دلالة الزمن ( الطلب - النفي- الاستمرارية - التحذير ),لا يدخل الصاد في النفي  والتحذير,*,NULL,ص
التحوّل في معنى الكلمة,لا يؤثر على بنية الكلمة في المعنى لأنه يكون أصليا,*,NULL,ص
التحوّل في معنى الكلمة,لا يؤثر حرف الضاد على بنية الكلمة في معناها.,*,NULL,ض
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),لا يدخل حرف الضاد في النفي والتحذير بصفة مستقلة، فلا يؤدي وظيفة زمنية خاصة.,*,NULL,ض
علاقته في التقديم والتأخير (وأثر ذلك في المعنى وإثارة الانتباه),لا يتعلق حرف الضاد بأسلوب التقديم أو التأخير، ولا يغيّر ترتيبات العناصر في الجملة.,*,NULL,ض
دوره في التوكيد ( لإبراز المعنى وتقويته ),ليس له دور,*,NULL,ض
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),ليس لحرف الضاد دور في الإنكار أو الدهشة.,*,NULL,ض
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),يُعتبر حرف الضاد من الأحرف القوية في العربية، ويستخدم في الأساليب البلاغية مثل السجع والجناس.,"إذا رماك الدهر في معشر قد أجمع الناس على بغضهم
فدارِهِمْ ما دامت في دارِهِمْ وأرضِهِمْ ما دمت في أرضِهِمْ",NULL,ض
دوره في الفصاحة والبيان (تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته),لا يود دور له,*,NULL,ض
