Segment,Start,End,Length,Is_Fibonacci,Total_Roots,Density,Category,Root,Count,Percentage
5,40,52,13,Yes,59,4.538,Cognition,عقل,3,5.1
5,40,52,13,Yes,59,4.538,Reading/Writing,قرأ,1,1.7
5,40,52,13,Yes,59,4.538,Cognition,فكر,6,10.2
5,40,52,13,Yes,59,4.538,Cognition,دبر,6,10.2
5,40,52,13,Yes,59,4.538,Revelation,شهد,1,1.7
6,53,73,21,Yes,117,5.571,Knowledge/Understanding,علم,17,14.5
6,53,73,21,Yes,117,5.571,Knowledge/Understanding,وعي,14,12.0
6,53,73,21,Yes,117,5.571,Reading/Writing,كتب,7,6.0
6,53,73,21,Yes,117,5.571,Knowledge/Understanding,فهم,12,10.3
6,53,73,21,Yes,117,5.571,Cognition,ذكر,13,11.1
6,53,73,21,Yes,117,5.571,Perception,بصر,4,3.4
6,53,73,21,Yes,117,5.571,Revelation,نزل,4,3.4
6,53,73,21,Yes,117,5.571,Perception,سمع,8,6.8
6,53,73,21,Yes,117,5.571,Cognition,عقل,7,6.0
6,53,73,21,Yes,117,5.571,Reading/Writing,قرأ,7,6.0
6,53,73,21,Yes,117,5.571,Cognition,فكر,11,9.4
6,53,73,21,Yes,117,5.571,Cognition,دبر,6,5.1
6,53,73,21,Yes,117,5.571,Revelation,شهد,2,1.7
6,53,73,21,Yes,117,5.571,Perception,نظر,5,4.3
7,74,94,21,Yes,127,6.048,Knowledge/Understanding,علم,17,13.4
7,74,94,21,Yes,127,6.048,Knowledge/Understanding,وعي,17,13.4
7,74,94,21,Yes,127,6.048,Reading/Writing,كتب,9,7.1
7,74,94,21,Yes,127,6.048,Knowledge/Understanding,فهم,12,9.4
7,74,94,21,Yes,127,6.048,Cognition,ذكر,9,7.1
7,74,94,21,Yes,127,6.048,Perception,بصر,4,3.1
7,74,94,21,Yes,127,6.048,Revelation,نزل,3,2.4
7,74,94,21,Yes,127,6.048,Perception,سمع,9,7.1
7,74,94,21,Yes,127,6.048,Cognition,عقل,12,9.4
7,74,94,21,Yes,127,6.048,Reading/Writing,قرأ,11,8.7
7,74,94,21,Yes,127,6.048,Cognition,فكر,10,7.9
7,74,94,21,Yes,127,6.048,Cognition,دبر,8,6.3
7,74,94,21,Yes,127,6.048,Revelation,شهد,4,3.1
7,74,94,21,Yes,127,6.048,Perception,نظر,2,1.6
8,95,100,6,No,44,7.333,Knowledge/Understanding,علم,6,13.6
8,95,100,6,No,44,7.333,Knowledge/Understanding,وعي,5,11.4
8,95,100,6,No,44,7.333,Reading/Writing,كتب,4,9.1
8,95,100,6,No,44,7.333,Knowledge/Understanding,فهم,5,11.4
8,95,100,6,No,44,7.333,Cognition,ذكر,3,6.8
8,95,100,6,No,44,7.333,Perception,بصر,2,4.5
8,95,100,6,No,44,7.333,Revelation,نزل,2,4.5
8,95,100,6,No,44,7.333,Perception,سمع,4,9.1
8,95,100,6,No,44,7.333,Cognition,عقل,4,9.1
8,95,100,6,No,44,7.333,Reading/Writing,قرأ,2,4.5
8,95,100,6,No,44,7.333,Cognition,فكر,4,9.1
8,95,100,6,No,44,7.333,Cognition,دبر,2,4.5
8,95,100,6,No,44,7.333,Revelation,شهد,1,2.3
