Segment,Start,End,Length,Is_Fibonacci,Fibonacci_Value,Cohesion,First_Verse,Last_Verse
16,32,33,2,,,0.292,"وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَا...","إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلاً..."
17,34,35,2,,,0.181,"الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِي...","كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتاً ..."
18,36,37,2,,,0.221,"هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِي...","وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِل..."
19,38,39,2,,,0.217,"وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَ...","قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَ..."
20,40,41,2,,,0.207,"قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ  فَلَمّ...","وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ ف..."
21,42,43,2,,,0.246,"وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَ...","فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَ..."
22,44,45,2,,,0.199,"فَتَلَقَّى آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَ...","قُلْنَا اهْبِطُوا مِنْهَا جَمِيعاً  فَإِمَّا يَأْت..."
23,46,48,3,✓,3,0.213,"وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَ...","وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقاً لِّمَا مَعَكُ..."
24,49,50,2,,,0.255,"وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُو...","وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَع..."
25,51,52,2,,,0.270,"أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنف...","وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ  وَإِنَّهَ..."
26,53,54,2,,,0.212,"الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ ...","يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِ..."
27,55,56,2,,,0.244,"وَاتَّقُوا يَوْماً لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ...","وَإِذْ نَجَّيْنَاكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُو..."
28,57,58,2,,,0.278,"وَإِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَأَنجَيْنَاكُمْ...","وَإِذْ وَاعَدْنَا مُوسَى أَرْبَعِينَ لَيْلَةً ثُمّ..."
29,59,60,2,,,0.219,"ثُمَّ عَفَوْنَا عَنكُم مِّن بَعْدِ ذَلِكَ لَعَلَّك...","وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ ل..."
30,61,62,2,,,0.184,"وَإِذْ قَالَ مُوسَى لِقَوْمِهِ يَا قَوْمِ إِنَّكُم...","وَإِذْ قُلْتُمْ يَا مُوسَى لَن نُّؤْمِنَ لَكَ حَتّ..."
31,63,64,2,,,0.189,"ثُمَّ بَعَثْنَاكُم مِّن بَعْدِ مَوْتِكُمْ لَعَلَّك...","وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنزَلْنَا عَ..."
32,65,66,2,,,0.206,"وَإِذْ قُلْنَا ادْخُلُوا هَذِهِ الْقَرْيَةَ فَكُلُ...","فَبَدَّلَ الَّذِينَ ظَلَمُوا قَوْلاً غَيْرَ الَّذِ..."
33,67,68,2,,,0.150,"وَإِذِ اسْتَسْقَى مُوسَى لِقَوْمِهِ فَقُلْنَا اضْر...","وَإِذْ قُلْتُمْ يَا مُوسَى لَن نَّصْبِرَ عَلَى طَع..."
34,69,70,2,,,0.231,"إِنَّ الَّذِينَ آمَنُوا وَالَّذِينَ هَادُوا وَالنّ...","وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُ..."
35,71,72,2,,,0.251,"ثُمَّ تَوَلَّيْتُم مِّن بَعْدِ ذَلِكَ  فَلَوْلَا ف...","وَلَقَدْ عَلِمْتُمُ الَّذِينَ اعْتَدَوْا مِنكُمْ ف..."
36,73,74,2,,,0.219,"فَجَعَلْنَاهَا نَكَالاً لِّمَا بَيْنَ يَدَيْهَا وَ...","وَإِذْ قَالَ مُوسَى لِقَوْمِهِ إِنَّ اللَّهَ يَأْم..."
37,75,76,2,,,0.502,"قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِ...","قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا لَ..."
38,77,78,2,,,0.196,"قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِ...","قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لَّا ذَلُو..."
39,79,80,2,,,0.198,"وَإِذْ قَتَلْتُمْ نَفْساً فَادَّارَأْتُمْ فِيهَا  ...","فَقُلْنَا اضْرِبُوهُ بِبَعْضِهَا  كَذَلِكَ يُحْيِي..."
40,81,83,3,✓,3,0.210,"ثُمَّ قَسَتْ قُلُوبُكُم مِّن بَعْدِ ذَلِكَ فَهِيَ ...","وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا و..."
41,84,85,2,,,0.238,"أَوَلَا يَعْلَمُونَ أَنَّ اللَّهَ يَعْلَمُ مَا يُس...","وَمِنْهُمْ أُمِّيُّونَ لَا يَعْلَمُونَ الْكِتَابَ ..."
42,86,87,2,,,0.240,"فَوَيْلٌ لِّلَّذِينَ يَكْتُبُونَ الْكِتَابَ بِأَيْ...","وَقَالُوا لَن تَمَسَّنَا النَّارُ إِلَّا أَيَّاماً..."
43,88,89,2,,,0.243,"بَلَى مَن كَسَبَ سَيِّئَةً وَأَحَاطَتْ بِهِ خَطِيئ...","وَالَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أُولَ..."
44,90,91,2,,,0.173,"وَإِذْ أَخَذْنَا مِيثَاقَ بَنِي إِسْرَائِيلَ لَا ت...","وَإِذْ أَخَذْنَا مِيثَاقَكُمْ لَا تَسْفِكُونَ دِمَ..."
45,92,93,2,,,0.115,"ثُمَّ أَنتُمْ هَؤُلَاءِ تَقْتُلُونَ أَنفُسَكُمْ وَ...","أُولَئِكَ الَّذِينَ اشْتَرَوُا الْحَيَاةَ الدُّنْي..."
46,94,95,2,,,0.130,"وَلَقَدْ آتَيْنَا مُوسَى الْكِتَابَ وَقَفَّيْنَا م...","وَقَالُوا قُلُوبُنَا غُلْفٌ  بَل لَّعَنَهُمُ اللَّ..."
47,96,98,3,✓,3,0.262,"وَلَمَّا جَاءَهُمْ كِتَابٌ مِّنْ عِندِ اللَّهِ مُص...","وَإِذَا قِيلَ لَهُمْ آمِنُوا بِمَا أَنزَلَ اللَّهُ..."
48,99,100,2,,,0.177,"وَلَقَدْ جَاءَكُم مُّوسَى بِالْبَيِّنَاتِ ثُمَّ ات...","وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُ..."
