Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note,project_effect_signature,project_usage_universal_ar,project_i3rab_template,project_quran_evidence_phrases,project_modules
1,الجر فقط الدلالية,Prepositions Only (Semantic),وَ,للدلالة على التقليل,وليل كموج البحر,واو رب: حرف جر، ليل: اسم مجرور لفظًا,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْوَاوُ "" حَرْفُ جَرٍّ وَقَسَمٍ مَبْنِيٌّ عَلَى الْفَتْحِ', 'وَ "" الْوَاوُ "" حَرْفُ جَرٍّ وَقَسَمٍ مَبْنِيٌّ عَلَى الْفَتْحِ', '"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَلَى,للدلالة على الاستعلاء,الكتاب على المكتب,على: حرف جر، المكتب: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ ثَانٍ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),كَ,للدلالة على التشبيه,زيد كالأسد,الكاف: حرف جر وتشبيه، الأسد: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْكَافُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْفَتْحِ', 'وَ "" الْكَافُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْفَتْحِ', 'وَ( الْكَافِرِينَ ) : مَعْطُوفٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْيَاءُ لِأَنَّهُ جَمْعُ مُذَكَّرٍ سَالِمٌ.', '"" الْكَافُ "" حَرْفُ جَرٍّ زَائِدٌ مَبْنِيٌّ عَلَى الْفَتْحِ', '"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),مُذْ,للدلالة على ابتداء الغاية الزمنية,ما رأيت زيدًا مذ يوم الجمعة,مذ: حرف جر، يوم: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ ثَانٍ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),مُنْذُ,للدلالة على انتهاء الغاية الزمنية,ما رأيت زيدا منذ يوم الجمعة,منذ: حرف جر، يوم: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ ثَانٍ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),حَتَّى,للدلالة على انتهاء الغاية الزمنية,سلام هي حتى مطلع الفجر,حتى: حرف جر وغاية، مطلع: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ ثَانٍ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),حَاشَا,للدلالة على الاستثناء,جاءني القوم حاشا زيد,حاشا: حرف جر واستثناء، زيد: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ ثَانٍ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَدَا,للدلالة على الاستثناء,جاءني القوم عدا زيد,عدا: حرف جر واستثناء، زيد: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ ثَانٍ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
1,الجر فقط الدلالية,Prepositions Only (Semantic),خَلَا,للدلالة على الاستثناء,جاءني القوم خلا زيد,خلا: حرف جر واستثناء، زيد: اسم مجرور,GEN,حَرْفُ جَرٍّ: يُفِيدُ جَرَّ الِاسْمِ بَعْدَهُ وَيُسَمَّى مَا بَعْدَهُ (اسْمًا مَجْرُورًا).,حَرْفُ جَرٍّ، وَ( {NOUN} ) : اسْمٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.,"['"" الْبَاءُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ', 'اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', 'نَعْتٌ ثَانٍ مَجْرُورٌ وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ.', '"" اللَّامُ "" حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى الْكَسْرِ']","['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
2,التوكيد ,Emphasis and Wishing (Grammatical),إِنَّ,للتوكيد,إن زيدا قائم,إنَّ: حرف توكيد، زيدا: اسم منصوب، قائم: خبر مرفوع,ACC_TAWKID,حَرْفُ تَوْكِيدٍ وَنَصْبٍ: يَنْصِبُ الِاسْمَ وَيَرْفَعُ الْخَبَرَ.,حَرْفُ تَوْكِيدٍ وَنَصْبٍ، وَ( {NOUN} ) : اسْمُهَا مَنْصُوبٌ، وَ( {NOUN2} ) : خَبَرُهَا مَرْفُوعٌ.,[],"['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
2,التوكيد,Emphasis and Wishing (Grammatical),أَنَّ,للتوكيد,بلغني أن زيدا منطلق,أنَّ: حرف توكيد، زيدا: اسم منصوب، منطلق: خبر مرفوع,ACC_TAWKID,حَرْفُ تَوْكِيدٍ وَنَصْبٍ: يَنْصِبُ الِاسْمَ وَيَرْفَعُ الْخَبَرَ.,حَرْفُ تَوْكِيدٍ وَنَصْبٍ، وَ( {NOUN} ) : اسْمُهَا مَنْصُوبٌ، وَ( {NOUN2} ) : خَبَرُهَا مَرْفُوعٌ.,[],"['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
2,التوكيد والتشبيه,Emphasis and Wishing (Grammatical),كَأَنَّ,للتشبيه,كأن زيدا أسد,كأنَّ: حرف توكيد وتشبيه، زيدا: اسم منصوب، أسد: خبر مرفوع,ACC_TAWKID,حَرْفُ تَوْكِيدٍ وَنَصْبٍ: يَنْصِبُ الِاسْمَ وَيَرْفَعُ الْخَبَرَ.,حَرْفُ تَوْكِيدٍ وَنَصْبٍ، وَ( {NOUN} ) : اسْمُهَا مَنْصُوبٌ، وَ( {NOUN2} ) : خَبَرُهَا مَرْفُوعٌ.,[],"['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
2,التوكيد والاستدراك,Emphasis and Wishing (Grammatical),لَكِنَّ,للاستدراك,غاب زيد لكن عمرا حاضر,لكنَّ: حرف استدراك، عمرا: اسم منصوب، حاضر: خبر مرفوع,ACC_TAWKID,حَرْفُ تَوْكِيدٍ وَنَصْبٍ: يَنْصِبُ الِاسْمَ وَيَرْفَعُ الْخَبَرَ.,حَرْفُ تَوْكِيدٍ وَنَصْبٍ، وَ( {NOUN} ) : اسْمُهَا مَنْصُوبٌ، وَ( {NOUN2} ) : خَبَرُهَا مَرْفُوعٌ.,[],"['src/fvafk/c2b/operators_catalog.py::OperatorsCatalog', 'scripts/run_complete_snapshot.py::detect_operator']"
